0.2 3
0.5 5
0.1 10
0.05 5
0.5 20
0.05 5
31
0009600008 0 2017 3 21 2.5 0 5 43 2 110
0009600009 0 2017 3 21 2.75 0 3 1 5 21
0009600010 0 2017 3 21 2 1 3 4 2 8
0009600011 0 2017 3 21 2 1 15 28 4 68
0009600012 0 2017 3 21 2 0 3 2 7 9
0009600013 1 2017 3 21 3 0 2 2 2 8
0009600015 1 2017 3 21 3 0 1 3 1 4
0009600016 0 2017 3 21 3 0 5 14 1 28
0009600017 1 2017 3 21 4 0 1 0 0 0
0009600018 0 2017 3 21 4 1 2 8 3 11
0009600020 1 2017 3 21 4 0 1 3 2 2
0009600021 0 2017 3 21 4 2 22 24 6 93
0009600022 0 2017 3 21 6 0 13 14 5 55
0009600023 1 2017 3 21 6 0 1 0 1 2
0009600024 0 2017 3 21 6 0 7 15 5 38
0009600025 1 2017 3 21 6 0 1 0 0 5
0009600026 1 2017 3 21 6 0 2 1 0 4
0009600027 0 2017 3 21 7 2 1 2 6 11
0009600028 0 2017 3 21 7 2 3 8 3 25
0009600029 0 2017 3 21 8 1 7 17 4 48
0009600030 1 2017 3 21 8 2 1 0 0 1
0009600031 1 2017 3 21 8 2 2 0 0 1
0009600032 0 2017 3 21 8 1 13 12 8 54
0009600033 1 2017 3 21 9 2 2 2 0 7
0009600034 1 2017 3 21 10 1 1 1 1 7
0009600035 1 2017 3 21 10 2 1 1 2 6
0009600037 0 2017 3 21 10 1 4 6 4 16
0009600039 1 2017 3 21 11 1 2 1 2 7
0009600040 1 2017 3 21 11 1 1 1 3 8
0009600041 0 2017 3 21 11 1 8 70 11 196
0009600042 0 2017 3 21 11 1 2 4 3 11
